Year,City,Month,Crime,Frequency
2013,Aligarh,August,Theft,42
2013,Aligarh,September,Burglary,20
2013,Aligarh,September,Kidnapping,39
2013,Aligarh,September,Murder,35
2013,Aligarh,September,Rape,31
2013,Aligarh,September,Theft,59
2013,Aligarh,October,Burglary,37
2013,Aligarh,October,Kidnapping,24
2013,Aligarh,October,Murder,37
2013,Aligarh,October,Rape,26
2013,Aligarh,October,Theft,57
2013,Aligarh,November,Burglary,49
2013,Aligarh,November,Kidnapping,38
2013,Aligarh,November,Murder,47
2013,Aligarh,November,Rape,26
2013,Aligarh,November,Theft,26
2013,Aligarh,December,Burglary,57
2013,Aligarh,December,Kidnapping,22
2013,Aligarh,December,Murder,60
2013,Aligarh,December,Rape,54
2013,Aligarh,December,Theft,25
2013,Allahabad,January,Burglary,40
2013,Allahabad,January,Kidnapping,22
2013,Allahabad,January,Murder,51
2013,Allahabad,January,Rape,30
2013,Allahabad,January,Theft,24
2013,Allahabad,February,Burglary,45
2013,Allahabad,February,Kidnapping,35
2013,Allahabad,February,Murder,24
2013,Allahabad,February,Rape,31
2013,Allahabad,February,Theft,55
2013,Allahabad,March,Burglary,33
2013,Allahabad,March,Kidnapping,34
2013,Allahabad,March,Murder,21
2013,Allahabad,March,Rape,43
2013,Allahabad,March,Theft,42
2013,Allahabad,April,Burglary,53
2013,Allahabad,April,Kidnapping,49
2013,Allahabad,April,Murder,41
2013,Allahabad,April,Rape,20
2013,Allahabad,April,Theft,54
2013,Allahabad,May,Burglary,37
2013,Allahabad,May,Kidnapping,29
2013,Allahabad,May,Murder,58
2013,Allahabad,May,Rape,37
2013,Allahabad,May,Theft,46
2013,Allahabad,June,Burglary,60
2013,Allahabad,June,Kidnapping,35
2013,Allahabad,June,Murder,35
2013,Allahabad,June,Rape,26
2013,Allahabad,June,Theft,20
2013,Allahabad,July,Burglary,50
2013,Allahabad,July,Kidnapping,39
2013,Allahabad,July,Murder,42
2013,Allahabad,July,Rape,56
2013,Allahabad,July,Theft,51
2013,Allahabad,August,Burglary,54
2013,Allahabad,August,Kidnapping,49
2013,Allahabad,August,Murder,57
2013,Allahabad,August,Rape,21
2013,Allahabad,August,Theft,30
2013,Allahabad,September,Burglary,44
2013,Allahabad,September,Kidnapping,43
2013,Allahabad,September,Murder,55
2013,Allahabad,September,Rape,49
2013,Allahabad,September,Theft,31
2013,Allahabad,October,Burglary,31
2013,Allahabad,October,Kidnapping,35
2013,Allahabad,October,Murder,33
2013,Allahabad,October,Rape,23
2013,Allahabad,October,Theft,25
2013,Allahabad,November,Burglary,35
2013,Allahabad,November,Kidnapping,53
2013,Allahabad,November,Murder,50
2013,Allahabad,November,Rape,53
2013,Allahabad,November,Theft,32
2013,Allahabad,December,Burglary,26
2013,Allahabad,December,Kidnapping,27
2013,Allahabad,December,Murder,28
2013,Allahabad,December,Rape,56
2013,Allahabad,December,Theft,25
2013,Amroha,January,Burglary,55
2013,Amroha,January,Kidnapping,37
2013,Amroha,January,Murder,47
2013,Amroha,January,Rape,27
2013,Amroha,January,Theft,27
2013,Amroha,February,Burglary,32
2013,Amroha,February,Kidnapping,33
2013,Amroha,February,Murder,30
2013,Amroha,February,Rape,34
2013,Amroha,February,Theft,30
2013,Amroha,March,Burglary,43
2013,Amroha,March,Kidnapping,56
2013,Amroha,March,Murder,54
2013,Amroha,March,Rape,33
2013,Amroha,March,Theft,38
2013,Amroha,April,Burglary,59
2013,Amroha,April,Kidnapping,53
2013,Amroha,April,Murder,30
2013,Amroha,April,Rape,36
2013,Amroha,April,Theft,52
2013,Amroha,May,Burglary,42
2013,Amroha,May,Kidnapping,29
2013,Amroha,May,Murder,56
2013,Amroha,May,Rape,22
2013,Amroha,May,Theft,36
2013,Amroha,June,Burglary,36
2013,Amroha,June,Kidnapping,38
2013,Amroha,June,Murder,42
2013,Amroha,June,Rape,56
2013,Amroha,June,Theft,28
2013,Amroha,July,Burglary,41
2013,Amroha,July,Kidnapping,48
2013,Amroha,July,Murder,59
2013,Amroha,July,Rape,21
2013,Amroha,July,Theft,42
2013,Amroha,August,Burglary,50
2013,Amroha,August,Kidnapping,57
2013,Amroha,August,Murder,45
2013,Amroha,August,Rape,31
2013,Amroha,August,Theft,47
2013,Amroha,September,Burglary,25
2013,Amroha,September,Kidnapping,50
2013,Amroha,September,Murder,58
2013,Amroha,September,Rape,49
2013,Amroha,September,Theft,58
2013,Amroha,October,Burglary,22
2013,Amroha,October,Kidnapping,21
2013,Amroha,October,Murder,24
2013,Amroha,October,Rape,29
2013,Amroha,October,Theft,45
2013,Amroha,November,Burglary,45
2013,Amroha,November,Kidnapping,25
2013,Amroha,November,Murder,28
2013,Amroha,November,Rape,60
2013,Amroha,November,Theft,41
2013,Amroha,December,Burglary,55
2013,Amroha,December,Kidnapping,43
2013,Amroha,December,Murder,50
2013,Amroha,December,Rape,22
2013,Amroha,December,Theft,22
2013,Aonla,January,Burglary,20
2013,Aonla,January,Kidnapping,36
2013,Aonla,January,Murder,41
2013,Aonla,January,Rape,53
2013,Aonla,January,Theft,50
2013,Aonla,February,Burglary,37
2013,Aonla,February,Kidnapping,45
2013,Aonla,February,Murder,59
2013,Aonla,February,Rape,28
2013,Aonla,February,Theft,50
2013,Aonla,March,Burglary,49
2013,Aonla,March,Kidnapping,27
2013,Aonla,March,Murder,47
2013,Aonla,March,Rape,51
2013,Aonla,March,Theft,51
2013,Aonla,April,Burglary,28
2013,Aonla,April,Kidnapping,42
2013,Aonla,April,Murder,44
2013,Aonla,April,Rape,44
2013,Aonla,April,Theft,38
2013,Aonla,May,Burglary,26
2013,Aonla,May,Kidnapping,52
2013,Aonla,May,Murder,52
2013,Aonla,May,Rape,59
2013,Aonla,May,Theft,38
2013,Aonla,June,Burglary,26
2013,Aonla,June,Kidnapping,26
2013,Aonla,June,Murder,20
2013,Aonla,June,Rape,33
2013,Aonla,June,Theft,41
2013,Aonla,July,Burglary,41
2013,Aonla,July,Kidnapping,28
2013,Aonla,July,Murder,31
2013,Aonla,July,Rape,24
2013,Aonla,July,Theft,25
2013,Aonla,August,Burglary,34
2013,Aonla,August,Kidnapping,46
2013,Aonla,August,Murder,39
2013,Aonla,August,Rape,56
2013,Aonla,August,Theft,40
2013,Aonla,September,Burglary,51
2013,Aonla,September,Kidnapping,56
2013,Aonla,September,Murder,44
2013,Aonla,September,Rape,57
2013,Aonla,September,Theft,41
2013,Aonla,October,Burglary,33
2013,Aonla,October,Kidnapping,34
2013,Aonla,October,Murder,24
2013,Aonla,October,Rape,60
2013,Aonla,October,Theft,24
2013,Aonla,November,Burglary,39
2013,Aonla,November,Kidnapping,59
2013,Aonla,November,Murder,58
2013,Aonla,November,Rape,46
2013,Aonla,November,Theft,21
2013,Aonla,December,Burglary,36
2013,Aonla,December,Kidnapping,54
2013,Aonla,December,Murder,49
2013,Aonla,December,Rape,58
2013,Aonla,December,Theft,45
2013,Auraiya,January,Burglary,36
2013,Auraiya,January,Kidnapping,49
2013,Auraiya,January,Murder,49
2013,Auraiya,January,Rape,40
2013,Auraiya,January,Theft,39
2013,Auraiya,February,Burglary,27
2013,Auraiya,February,Kidnapping,52
2013,Auraiya,February,Murder,52
2013,Auraiya,February,Rape,48
2013,Auraiya,February,Theft,48
2013,Auraiya,March,Burglary,44
2013,Auraiya,March,Kidnapping,56
2013,Auraiya,March,Murder,52
2013,Auraiya,March,Rape,21
2013,Auraiya,March,Theft,60
2013,Auraiya,April,Burglary,31
2013,Auraiya,April,Kidnapping,47
2013,Auraiya,April,Murder,58
2013,Auraiya,April,Rape,59
2013,Auraiya,April,Theft,27
2013,Auraiya,May,Burglary,26
2013,Auraiya,May,Kidnapping,33
2013,Auraiya,May,Murder,57
2013,Auraiya,May,Rape,23
2013,Auraiya,May,Theft,48
2013,Auraiya,June,Burglary,57
2013,Auraiya,June,Kidnapping,56
2013,Auraiya,June,Murder,23
2013,Auraiya,June,Rape,41
2013,Auraiya,June,Theft,27
2013,Auraiya,July,Burglary,24
2013,Auraiya,July,Kidnapping,56
2013,Auraiya,July,Murder,38
2013,Auraiya,July,Rape,39
2013,Auraiya,July,Theft,45
2013,Auraiya,August,Burglary,54
2013,Auraiya,August,Kidnapping,34
2013,Auraiya,August,Murder,55
2013,Auraiya,August,Rape,31
2013,Auraiya,August,Theft,24
2013,Auraiya,September,Burglary,44
2013,Auraiya,September,Kidnapping,34
2013,Auraiya,September,Murder,24
2013,Auraiya,September,Rape,49
2013,Auraiya,September,Theft,50
2013,Auraiya,October,Burglary,50
2013,Auraiya,October,Kidnapping,22
2013,Auraiya,October,Murder,38
2013,Auraiya,October,Rape,50
2013,Auraiya,October,Theft,60
2013,Auraiya,November,Burglary,58
2013,Auraiya,November,Kidnapping,37
2013,Auraiya,November,Murder,53
2013,Auraiya,November,Rape,58
2013,Auraiya,November,Theft,37
2013,Auraiya,December,Burglary,28
2013,Auraiya,December,Kidnapping,43
2013,Auraiya,December,Murder,54
2013,Auraiya,December,Rape,60
2013,Auraiya,December,Theft,27
2013,Ayodhya,January,Burglary,35
2013,Ayodhya,January,Kidnapping,44
2013,Ayodhya,January,Murder,23
2013,Ayodhya,January,Rape,41
2013,Ayodhya,January,Theft,41
2013,Ayodhya,February,Burglary,35
2013,Ayodhya,February,Kidnapping,40
2013,Ayodhya,February,Murder,42
2013,Ayodhya,February,Rape,54
2013,Ayodhya,February,Theft,28
2013,Ayodhya,March,Burglary,38
2013,Ayodhya,March,Kidnapping,52
2013,Ayodhya,March,Murder,42
2013,Ayodhya,March,Rape,38
2013,Ayodhya,March,Theft,35
2013,Ayodhya,April,Burglary,31
2013,Ayodhya,April,Kidnapping,39
2013,Ayodhya,April,Murder,20
2013,Ayodhya,April,Rape,52
2013,Ayodhya,April,Theft,37
2013,Ayodhya,May,Burglary,41
2013,Ayodhya,May,Kidnapping,56
2013,Ayodhya,May,Murder,60
2013,Ayodhya,May,Rape,36
2013,Ayodhya,May,Theft,59
2013,Ayodhya,June,Burglary,50
2013,Ayodhya,June,Kidnapping,32
2013,Ayodhya,June,Murder,21
2013,Ayodhya,June,Rape,51
2013,Ayodhya,June,Theft,46
2013,Ayodhya,July,Burglary,43
2013,Ayodhya,July,Kidnapping,41
2013,Ayodhya,July,Murder,30
2013,Ayodhya,July,Rape,21
2013,Ayodhya,July,Theft,33
2013,Ayodhya,August,Burglary,58
2013,Ayodhya,August,Kidnapping,20
2013,Ayodhya,August,Murder,27
2013,Ayodhya,August,Rape,59
2013,Ayodhya,August,Theft,32
2013,Ayodhya,September,Burglary,50
2013,Ayodhya,September,Kidnapping,29
2013,Ayodhya,September,Murder,58
2013,Ayodhya,September,Rape,32
2013,Ayodhya,September,Theft,57
2013,Ayodhya,October,Burglary,29
2013,Ayodhya,October,Kidnapping,59
2013,Ayodhya,October,Murder,21
2013,Ayodhya,October,Rape,56
2013,Ayodhya,October,Theft,21
2013,Ayodhya,November,Burglary,28
2013,Ayodhya,November,Kidnapping,52
2013,Ayodhya,November,Murder,35
2013,Ayodhya,November,Rape,55
2013,Ayodhya,November,Theft,56
2013,Ayodhya,December,Burglary,33
2013,Ayodhya,December,Kidnapping,42
2013,Ayodhya,December,Murder,48
2013,Ayodhya,December,Rape,35
2013,Ayodhya,December,Theft,37
2013,Azamgarh,January,Burglary,37
2013,Azamgarh,January,Kidnapping,27
2013,Azamgarh,January,Murder,27
2013,Azamgarh,January,Rape,57
2013,Azamgarh,January,Theft,26
2013,Azamgarh,February,Burglary,41
2013,Azamgarh,February,Kidnapping,57
2013,Azamgarh,February,Murder,49
2013,Azamgarh,February,Rape,57
2013,Azamgarh,February,Theft,33
2013,Azamgarh,March,Burglary,36
2013,Azamgarh,March,Kidnapping,29
2013,Azamgarh,March,Murder,44
2013,Azamgarh,March,Rape,54
2013,Azamgarh,March,Theft,22
2013,Azamgarh,April,Burglary,51
2013,Azamgarh,April,Kidnapping,58
2013,Azamgarh,April,Murder,42
2013,Azamgarh,April,Rape,34
2013,Azamgarh,April,Theft,35
2013,Azamgarh,May,Burglary,38
2013,Azamgarh,May,Kidnapping,33
2013,Azamgarh,May,Murder,32
2013,Azamgarh,May,Rape,23
2013,Azamgarh,May,Theft,45
2013,Azamgarh,June,Burglary,20
2013,Azamgarh,June,Kidnapping,58
2013,Azamgarh,June,Murder,54
2013,Azamgarh,June,Rape,38
2013,Azamgarh,June,Theft,32
2013,Azamgarh,July,Burglary,55
2013,Azamgarh,July,Kidnapping,59
2013,Azamgarh,July,Murder,42
2013,Azamgarh,July,Rape,34
2013,Azamgarh,July,Theft,51
2013,Azamgarh,August,Burglary,59
2013,Azamgarh,August,Kidnapping,59
2013,Azamgarh,August,Murder,42
2013,Azamgarh,August,Rape,47
2013,Azamgarh,August,Theft,52
2013,Azamgarh,September,Burglary,37
2013,Azamgarh,September,Kidnapping,34
2013,Azamgarh,September,Murder,40
2013,Azamgarh,September,Rape,30
2013,Azamgarh,September,Theft,39
2013,Azamgarh,October,Burglary,25
2013,Azamgarh,October,Kidnapping,39
2013,Azamgarh,October,Murder,57
2013,Azamgarh,October,Rape,60
2013,Azamgarh,October,Theft,27
2013,Azamgarh,November,Burglary,60
2013,Azamgarh,November,Kidnapping,52
2013,Azamgarh,November,Murder,41
2013,Azamgarh,November,Rape,24
2013,Azamgarh,November,Theft,32
2013,Azamgarh,December,Burglary,29
2013,Azamgarh,December,Kidnapping,58
2013,Azamgarh,December,Murder,36
2013,Azamgarh,December,Rape,33
2013,Azamgarh,December,Theft,51
2013,Baheri,January,Burglary,47
2013,Baheri,January,Kidnapping,34
2013,Baheri,January,Murder,44
2013,Baheri,January,Rape,58
2013,Baheri,January,Theft,33
2013,Baheri,February,Burglary,55
2013,Baheri,February,Kidnapping,49
2013,Baheri,February,Murder,53
2013,Baheri,February,Rape,40
2013,Baheri,February,Theft,48
2013,Baheri,March,Burglary,58
2013,Baheri,March,Kidnapping,60
2013,Baheri,March,Murder,45
2013,Baheri,March,Rape,41
2013,Baheri,March,Theft,44
2013,Baheri,April,Burglary,45
2013,Baheri,April,Kidnapping,47
2013,Baheri,April,Murder,36
2013,Baheri,April,Rape,33
2013,Baheri,April,Theft,52
2013,Baheri,May,Burglary,53
2013,Baheri,May,Kidnapping,55
2013,Baheri,May,Murder,50
2013,Baheri,May,Rape,21
2013,Baheri,May,Theft,57
2013,Baheri,June,Burglary,20
2013,Baheri,June,Kidnapping,39
2013,Baheri,June,Murder,25
2013,Baheri,June,Rape,30
2013,Baheri,June,Theft,32
2013,Baheri,July,Burglary,38
2013,Baheri,July,Kidnapping,27
2013,Baheri,July,Murder,26
2013,Baheri,July,Rape,38
2013,Baheri,July,Theft,47
2013,Baheri,August,Burglary,50
2013,Baheri,August,Kidnapping,48
2013,Baheri,August,Murder,51
2013,Baheri,August,Rape,31
2013,Baheri,August,Theft,56
2013,Baheri,September,Burglary,55
2013,Baheri,September,Kidnapping,24
2013,Baheri,September,Murder,31
2013,Baheri,September,Rape,26
2013,Baheri,September,Theft,30
2013,Baheri,October,Burglary,38
2013,Baheri,October,Kidnapping,58
2013,Baheri,October,Murder,35
2013,Baheri,October,Rape,47
2013,Baheri,October,Theft,51
2013,Baheri,November,Burglary,25
2013,Baheri,November,Kidnapping,20
2013,Baheri,November,Murder,34
2013,Baheri,November,Rape,51
2013,Baheri,November,Theft,47
2013,Baheri,December,Burglary,27
2013,Baheri,December,Kidnapping,24
2013,Baheri,December,Murder,26
2013,Baheri,December,Rape,21
2013,Baheri,December,Theft,32
2013,Bahraich,January,Burglary,23
2013,Bahraich,January,Kidnapping,25
2013,Bahraich,January,Murder,52
2013,Bahraich,January,Rape,36
2013,Bahraich,January,Theft,57
2013,Bahraich,February,Burglary,40
2013,Bahraich,February,Kidnapping,27
2013,Bahraich,February,Murder,25
2013,Bahraich,February,Rape,38
2013,Bahraich,February,Theft,55
2013,Bahraich,March,Burglary,42
2013,Bahraich,March,Kidnapping,52
2013,Bahraich,March,Murder,21
2013,Bahraich,March,Rape,54
2013,Bahraich,March,Theft,49
2013,Bahraich,April,Burglary,60
2013,Bahraich,April,Kidnapping,48
2013,Bahraich,April,Murder,40
2013,Bahraich,April,Rape,60
2013,Bahraich,April,Theft,60
2013,Bahraich,May,Burglary,51
2013,Bahraich,May,Kidnapping,51
2013,Bahraich,May,Murder,55
2013,Bahraich,May,Rape,29
2013,Bahraich,May,Theft,25
2013,Bahraich,June,Burglary,22
2013,Bahraich,June,Kidnapping,32
2013,Bahraich,June,Murder,33
2013,Bahraich,June,Rape,37
2013,Bahraich,June,Theft,54
2013,Bahraich,July,Burglary,26
2013,Bahraich,July,Kidnapping,39
2013,Bahraich,July,Murder,31
2013,Bahraich,July,Rape,46
2013,Bahraich,July,Theft,25
2013,Bahraich,August,Burglary,25
2013,Bahraich,August,Kidnapping,52
2013,Bahraich,August,Murder,23
2013,Bahraich,August,Rape,21
2013,Bahraich,August,Theft,57
2013,Bahraich,September,Burglary,49
2013,Bahraich,September,Kidnapping,39
2013,Bahraich,September,Murder,23
2013,Bahraich,September,Rape,59
2013,Bahraich,September,Theft,29
2013,Bahraich,October,Burglary,20
2013,Bahraich,October,Kidnapping,31
2013,Bahraich,October,Murder,27
2013,Bahraich,October,Rape,41
2013,Bahraich,October,Theft,22
2013,Bahraich,November,Burglary,45
2013,Bahraich,November,Kidnapping,49
2013,Bahraich,November,Murder,29
2013,Bahraich,November,Rape,42
2013,Bahraich,November,Theft,36
2013,Bahraich,December,Burglary,56
2013,Bahraich,December,Kidnapping,59
2013,Bahraich,December,Murder,34
2013,Bahraich,December,Rape,40
2013,Bahraich,December,Theft,32
2013,Ballia,January,Burglary,55
2013,Ballia,January,Kidnapping,47
2013,Ballia,January,Murder,59
2013,Ballia,January,Rape,28
2013,Ballia,January,Theft,55
2013,Ballia,February,Burglary,35
2013,Ballia,February,Kidnapping,40
2013,Ballia,February,Murder,26
2013,Ballia,February,Rape,39
2013,Ballia,February,Theft,47
2013,Ballia,March,Burglary,37
2013,Ballia,March,Kidnapping,21
2013,Ballia,March,Murder,47
2013,Ballia,March,Rape,24
2013,Ballia,March,Theft,36
2013,Ballia,April,Burglary,25
2013,Ballia,April,Kidnapping,37
2013,Ballia,April,Murder,26
2013,Ballia,April,Rape,20
2013,Ballia,April,Theft,38
2013,Ballia,May,Burglary,55
2013,Ballia,May,Kidnapping,60
2013,Ballia,May,Murder,25
2013,Ballia,May,Rape,24
2013,Ballia,May,Theft,45
2013,Ballia,June,Burglary,44
2013,Ballia,June,Kidnapping,24
2013,Ballia,June,Murder,30
2013,Ballia,June,Rape,24
2013,Ballia,June,Theft,23
2013,Ballia,July,Burglary,36
2013,Ballia,July,Kidnapping,48
2013,Ballia,July,Murder,55
2013,Ballia,July,Rape,39
2013,Ballia,July,Theft,43
2013,Ballia,August,Burglary,51
2013,Ballia,August,Kidnapping,30
2013,Ballia,August,Murder,22
2013,Ballia,August,Rape,28
2013,Ballia,August,Theft,52
2013,Ballia,September,Burglary,32
2013,Ballia,September,Kidnapping,49
2013,Ballia,September,Murder,21
2013,Ballia,September,Rape,34
2013,Ballia,September,Theft,47
2013,Ballia,October,Burglary,44
2013,Ballia,October,Kidnapping,29
2013,Ballia,October,Murder,55
2013,Ballia,October,Rape,47
2013,Ballia,October,Theft,31
2013,Ballia,November,Burglary,34
2013,Ballia,November,Kidnapping,21
2013,Ballia,November,Murder,60
2013,Ballia,November,Rape,59
2013,Ballia,November,Theft,55
2013,Ballia,December,Burglary,47
2013,Ballia,December,Kidnapping,30
2013,Ballia,December,Murder,29
2013,Ballia,December,Rape,36
2013,Ballia,December,Theft,45
2013,Balrampur,January,Burglary,30
2013,Balrampur,January,Kidnapping,43
2013,Balrampur,January,Murder,30
2013,Balrampur,January,Rape,48
2013,Balrampur,January,Theft,22
2013,Balrampur,February,Burglary,31
2013,Balrampur,February,Kidnapping,32
2013,Balrampur,February,Murder,45
2013,Balrampur,February,Rape,24
2013,Balrampur,February,Theft,33
2013,Balrampur,March,Burglary,60
2013,Balrampur,March,Kidnapping,42
2013,Balrampur,March,Murder,54
2013,Balrampur,March,Rape,40
2013,Balrampur,March,Theft,46
2013,Balrampur,April,Burglary,42
2013,Balrampur,April,Kidnapping,56
2013,Balrampur,April,Murder,33
2013,Balrampur,April,Rape,45
2013,Balrampur,April,Theft,32
2013,Balrampur,May,Burglary,48
2013,Balrampur,May,Kidnapping,21
2013,Balrampur,May,Murder,30
2013,Balrampur,May,Rape,33
2013,Balrampur,May,Theft,29
2013,Balrampur,June,Burglary,56
2013,Balrampur,June,Kidnapping,32
2013,Balrampur,June,Murder,23
2013,Balrampur,June,Rape,22
2013,Balrampur,June,Theft,45
2013,Balrampur,July,Burglary,43
2013,Balrampur,July,Kidnapping,34
2013,Balrampur,July,Murder,22
2013,Balrampur,July,Rape,49
2013,Balrampur,July,Theft,35
2013,Balrampur,August,Burglary,26
2013,Balrampur,August,Kidnapping,24
2013,Balrampur,August,Murder,56
2013,Balrampur,August,Rape,32
2013,Balrampur,August,Theft,51
2013,Balrampur,September,Burglary,50
2013,Balrampur,September,Kidnapping,57
2013,Balrampur,September,Murder,41
2013,Balrampur,September,Rape,25
2013,Balrampur,September,Theft,48
2013,Balrampur,October,Burglary,47
2013,Balrampur,October,Kidnapping,33
2013,Balrampur,October,Murder,50
2013,Balrampur,October,Rape,41
2013,Balrampur,October,Theft,60
2013,Balrampur,November,Burglary,41
2013,Balrampur,November,Kidnapping,21
2013,Balrampur,November,Murder,41
2013,Balrampur,November,Rape,23
2013,Balrampur,November,Theft,30
2013,Balrampur,December,Burglary,55
2013,Balrampur,December,Kidnapping,58
2013,Balrampur,December,Murder,56
2013,Balrampur,December,Rape,24
2013,Balrampur,December,Theft,36
2013,Banda,January,Burglary,35
2013,Banda,January,Kidnapping,22
2013,Banda,January,Murder,37
2013,Banda,January,Rape,50
2013,Banda,January,Theft,33
2013,Banda,February,Burglary,37
2013,Banda,February,Kidnapping,59
2013,Banda,February,Murder,35
2013,Banda,February,Rape,20
2013,Banda,February,Theft,20
2013,Banda,March,Burglary,42
2013,Banda,March,Kidnapping,46
2013,Banda,March,Murder,56
2013,Banda,March,Rape,59
2013,Banda,March,Theft,34
2013,Banda,April,Burglary,27
2013,Banda,April,Kidnapping,36
2013,Banda,April,Murder,50
2013,Banda,April,Rape,36
2013,Banda,April,Theft,24
2013,Banda,May,Burglary,51
2013,Banda,May,Kidnapping,52
2013,Banda,May,Murder,20
2013,Banda,May,Rape,49
2013,Banda,May,Theft,22
2013,Banda,June,Burglary,50
2013,Banda,June,Kidnapping,48
2013,Banda,June,Murder,51
2013,Banda,June,Rape,30
2013,Banda,June,Theft,28
2013,Banda,July,Burglary,39
2013,Banda,July,Kidnapping,39
2013,Banda,July,Murder,58
2013,Banda,July,Rape,37
2013,Banda,July,Theft,20
2013,Banda,August,Burglary,23
2013,Banda,August,Kidnapping,39
2013,Banda,August,Murder,25
2013,Banda,August,Rape,59
2013,Banda,August,Theft,41
2013,Banda,September,Burglary,40
2013,Banda,September,Kidnapping,47
2013,Banda,September,Murder,47
2013,Banda,September,Rape,32
2013,Banda,September,Theft,50
2013,Banda,October,Burglary,38
2013,Banda,October,Kidnapping,49
2013,Banda,October,Murder,23
2013,Banda,October,Rape,46
2013,Banda,October,Theft,48
2013,Banda,November,Burglary,50
2013,Banda,November,Kidnapping,56
2013,Banda,November,Murder,55
2013,Banda,November,Rape,32
2013,Banda,November,Theft,53
2013,Banda,December,Burglary,20
2013,Banda,December,Kidnapping,36
2013,Banda,December,Murder,54
2013,Banda,December,Rape,40
2013,Banda,December,Theft,44
2013,Baraut,January,Burglary,38
2013,Baraut,January,Kidnapping,40
2013,Baraut,January,Murder,37
2013,Baraut,January,Rape,33
2013,Baraut,January,Theft,41
2013,Baraut,February,Burglary,40
2013,Baraut,February,Kidnapping,38
2013,Baraut,February,Murder,54
2013,Baraut,February,Rape,24
2013,Baraut,February,Theft,50
2013,Baraut,March,Burglary,32
2013,Baraut,March,Kidnapping,25
2013,Baraut,March,Murder,42
2013,Baraut,March,Rape,55
2013,Baraut,March,Theft,34
2013,Baraut,April,Burglary,29
2013,Baraut,April,Kidnapping,53
2013,Baraut,April,Murder,34
2013,Baraut,April,Rape,33
2013,Baraut,April,Theft,41
2013,Baraut,May,Burglary,59
2013,Baraut,May,Kidnapping,28
2013,Baraut,May,Murder,27
2013,Baraut,May,Rape,33
2013,Baraut,May,Theft,28
2013,Baraut,June,Burglary,59
